arm,family,pair,workload,ops,periodic_ops,combos,solver,objective,all_ops,misses,wall_s,cpsat_status,cpsat_gap,prec_viol,overlap_viol,inf_dur_assign,error
s10port,depth_contended_hd,?,networks_depth_contended_hd,5,4,2,decomposed,7.091,12.133,0,0.0,,,0,0,0,
s10port,depth_contended_hd,?,networks_depth_contended_hd,5,4,2,greedy,7.091,12.133,0,0.0,,,0,0,0,
s10port,depth_contended_hd,?,networks_depth_contended_hd,5,4,2,greedy_periodic,3.46,12.133,0,0.0,,,0,0,0,
s10port,depth_contended_hd,?,networks_depth_contended_hd,5,4,2,greedy_reserved,3.46,13.057,0,0.0,,,0,0,0,
s10port,depth_contended_hd,?,networks_depth_contended_hd,5,4,2,heft,3.46,12.133,0,0.0,,,0,0,0,
s10port,depth_contended_hd,?,networks_depth_contended_hd,5,4,2,heft_edf,3.46,12.133,0,0.001,,,0,0,0,
s10port,depth_contended_hd,?,networks_depth_contended_hd,5,4,2,pso,3.46,12.133,0,0.025,,,0,0,0,
s10port,depth_contended_hd,?,networks_depth_contended_hd,5,4,2,sa,3.46,12.133,0,0.077,,,0,0,0,
s10port,depth_contended_quad,?,networks_depth_contended_quad,5,4,4,best-of-fast,3.46,12.235,0,0.001,,,0,0,0,
s10port,depth_contended_quad,?,networks_depth_contended_quad,5,4,4,cpsat,3.46,14.169,0,0.301,OPTIMAL,0.0,0,0,0,
s10port,depth_contended_quad,?,networks_depth_contended_quad,5,4,4,cpsat:warm,3.46,12.235,0,0.3,OPTIMAL,0.0,0,0,0,
s10port,depth_contended_quad,?,networks_depth_contended_quad,5,4,4,cpsat:warmbest,3.46,12.235,0,0.313,OPTIMAL,0.0,0,0,0,
s10port,depth_contended_quad,?,networks_depth_contended_quad,5,4,4,decomposed,3.887,12.235,0,0.0,,,0,0,0,
s10port,depth_contended_quad,?,networks_depth_contended_quad,5,4,4,greedy,3.887,12.235,0,0.0,,,0,0,0,
s10port,depth_contended_quad,?,networks_depth_contended_quad,5,4,4,greedy_periodic,3.46,12.235,0,0.0,,,0,0,0,
s10port,depth_contended_quad,?,networks_depth_contended_quad,5,4,4,greedy_reserved,3.46,13.038,0,0.0,,,0,0,0,
s10port,depth_contended_quad,?,networks_depth_contended_quad,5,4,4,heft,3.46,12.235,0,0.0,,,0,0,0,
s10port,depth_contended_quad,?,networks_depth_contended_quad,5,4,4,heft_edf,3.46,12.235,0,0.001,,,0,0,0,
s10port,depth_contended_quad,?,networks_depth_contended_quad,5,4,4,pso,3.46,12.235,0,0.032,,,0,0,0,
s10port,depth_contended_quad,?,networks_depth_contended_quad,5,4,4,sa,3.46,12.235,0,0.094,,,0,0,0,
s10port,depth_nav,cg,networks_depth_nav_cg,20,20,2,best-of-fast,26.81,26.81,0,0.004,,,0,0,0,
s10port,depth_nav,cg,networks_depth_nav_cg,20,20,2,cpsat,26.81,26.81,0,0.33,OPTIMAL,0.0,0,0,0,
s10port,depth_nav,cg,networks_depth_nav_cg,20,20,2,cpsat:warm,26.81,26.81,0,0.31,OPTIMAL,0.0,0,0,0,
s10port,depth_nav,cg,networks_depth_nav_cg,20,20,2,cpsat:warmbest,26.81,26.81,0,0.303,OPTIMAL,0.0,0,0,0,
s10port,depth_nav,cg,networks_depth_nav_cg,20,20,2,decomposed,26.81,26.81,0,0.0,,,0,0,0,
s10port,depth_nav,cg,networks_depth_nav_cg,20,20,2,greedy,26.81,26.81,0,0.001,,,0,0,0,
s10port,depth_nav,cg,networks_depth_nav_cg,20,20,2,greedy_periodic,26.81,26.81,0,0.0,,,0,0,0,
s10port,depth_nav,cg,networks_depth_nav_cg,20,20,2,greedy_reserved,26.81,26.81,0,0.001,,,0,0,0,
s10port,depth_nav,cg,networks_depth_nav_cg,20,20,2,heft,26.81,26.81,0,0.001,,,0,0,0,
s10port,depth_nav,cg,networks_depth_nav_cg,20,20,2,heft_edf,26.81,26.81,0,0.001,,,0,0,0,
s10port,depth_nav,cg,networks_depth_nav_cg,20,20,2,pso,26.81,26.81,0,0.08,,,0,0,0,
s10port,depth_nav,cg,networks_depth_nav_cg,20,20,2,sa,26.81,26.81,0,0.149,,,0,0,0,
s10port,depth_nav,dc,networks_depth_nav_dc,20,20,2,best-of-fast,31.52,31.52,0,0.005,,,0,0,0,
